V_added_mL,pH,total_volume_mL,note
21.5,7.4102,46.5,between first and second eq (buffer of HA-/A2-)
22.0,7.5006,47.0,between first and second eq (buffer of HA-/A2-)
22.5,7.6021,47.5,between first and second eq (buffer of HA-/A2-)
23.0,7.7202,48.0,between first and second eq (buffer of HA-/A2-)
23.5,7.8653,48.5,between first and second eq (buffer of HA-/A2-)
24.0,8.0607,49.0,between first and second eq (buffer of HA-/A2-)
24.5,8.3802,49.5,between first and second eq (buffer of HA-/A2-)
25.0,9.8495,50.0,second equivalence (A2- solution)
25.5,10.9957,50.5,excess OH- after second eq
26.0,11.2924,51.0,excess OH- after second eq
26.5,11.4643,51.5,excess OH- after second eq
27.0,11.585,52.0,excess OH- after second eq
27.5,11.6778,52.5,excess OH- after second eq
28.0,11.7528,53.0,excess OH- after second eq
28.5,11.8157,53.5,excess OH- after second eq
29.0,11.8697,54.0,excess OH- after second eq
29.5,11.9168,54.5,excess OH- after second eq
30.0,11.9586,55.0,excess OH- after second eq
30.5,11.9961,55.5,excess OH- after second eq
31.0,12.03,56.0,excess OH- after second eq
31.5,12.0609,56.5,excess OH- after second eq
32.0,12.0892,57.0,excess OH- after second eq
32.5,12.1154,57.5,excess OH- after second eq
33.0,12.1397,58.0,excess OH- after second eq
33.5,12.1623,58.5,excess OH- after second eq
34.0,12.1834,59.0,excess OH- after second eq
34.5,12.2032,59.5,excess OH- after second eq
35.0,12.2218,60.0,excess OH- after second eq
35.5,12.2394,60.5,excess OH- after second eq
36.0,12.2561,61.0,excess OH- after second eq
36.5,12.2718,61.5,excess OH- after second eq
37.0,12.2868,62.0,excess OH- after second eq
37.5,12.301,62.5,excess OH- after second eq
38.0,12.3146,63.0,excess OH- after second eq
38.5,12.3276,63.5,excess OH- after second eq
39.0,12.3399,64.0,excess OH- after second eq
39.5,12.3518,64.5,excess OH- after second eq
40.0,12.3632,65.0,excess OH- after second eq
40.5,12.3741,65.5,excess OH- after second eq
41.0,12.3846,66.0,excess OH- after second eq
41.5,12.3947,66.5,excess OH- after second eq
42.0,12.4044,67.0,excess OH- after second eq
42.5,12.4137,67.5,excess OH- after second eq
43.0,12.4228,68.0,excess OH- after second eq
43.5,12.4315,68.5,excess OH- after second eq
44.0,12.4399,69.0,excess OH- after second eq
44.5,12.448,69.5,excess OH- after second eq
45.0,12.4559,70.0,excess OH- after second eq
45.5,12.4636,70.5,excess OH- after second eq
46.0,12.471,71.0,excess OH- after second eq
46.5,12.4781,71.5,excess OH- after second eq
47.0,12.4851,72.0,excess OH- after second eq
47.5,12.4918,72.5,excess OH- after second eq
48.0,12.4984,73.0,excess OH- after second eq
48.5,12.5048,73.5,excess OH- after second eq
49.0,12.511,74.0,excess OH- after second eq
49.5,12.517,74.5,excess OH- after second eq
50.0,12.5229,75.0,excess OH- after second eq
