V [mL];Concentration determination TitrationEQP1 E
0.005;757.6
0.01;758.8
0.022;760
0.052;761.1
0.102;761.7
0.152;762.4
0.202;763
0.252;763.6
0.302;764.2
0.352;764.8
0.402;765.3
0.452;765.8
0.502;766.5
0.552;767
0.602;767.6
0.652;768.1
0.702;768.5
0.752;769
0.802;769.5
0.852;769.8
0.902;770.1
0.952;770.2
1.002;770.5
1.052;770.6
1.102;770.4
1.152;769.7
1.202;768.6
1.252;766.2
1.302;759.4
1.352;737.5
1.359;733.7
1.371;723.8
1.377;718.8
1.387;708.2
1.393;701
1.399;692.7
1.404;684.8
1.409;675.9
1.414;665.6
1.419;654.1
1.424;641
1.429;627.4
1.434;611.3
1.439;595.2
1.444;580.2
1.449;573.6
1.461;571.6
1.491;571.9
1.541;573.1
1.591;574.4
1.641;575.8
1.691;577.2
1.741;578.6
1.791;580
1.841;581.4
1.891;582.7
1.941;584.1
1.991;585.4
2.041;586.8
2.091;588.2
2.141;589.6
2.191;591
2.241;592.4
2.291;593.7
2.341;595.2
2.391;596.5
2.441;597.9
2.491;599.2
2.541;600.6
2.591;602
2.641;603.3
2.691;604.7
2.741;606
2.791;607.4
2.841;608.8
2.891;610.2
2.941;611.5
2.991;612.8
3;614

V [mL];Concentration determination TitrationEQP1 dE/dV
0.102;33.54
0.152;13.21
0.202;11.27
0.252;11.03
0.302;11.51
0.352;11.18
0.402;11.28
0.452;11.44
0.502;11.31
0.552;10.99
0.602;10.76
0.652;10.12
0.702;9.52
0.752;8.63
0.802;7.5
0.852;6.76
0.902;6.03
0.952;4.57
1.002;3.07
1.052;3.47
1.102;12.41
1.152;-7.92
1.202;-50.14
1.252;-136.87
1.302;-309.12
1.352;-646.27
1.359;-741.83
1.371;-903.91
1.377;-1004.36
1.387;-1182.38
1.393;-1315.98
1.399;-1497.66
1.404;-1696.81
1.409;-1908.95
1.414;-2172.67
1.419;-2465.85
1.424;-2842.69
1.429;-3123.96
1.434;-2455.79
1.439;-1962.92
1.444;-1741.59
1.449;-1307.92
1.461;-707.87
1.491;-215.95
1.541;-8.45
1.591;27.41
1.641;29.72
1.691;28.51
1.741;28.15
1.791;27.72
1.841;27.28
1.891;27.09
1.941;27.09
1.991;27.28
2.041;27.72
2.091;27.8
2.141;27.91
2.191;27.92
2.241;27.8
2.291;27.6
2.341;27.4
2.391;27.4
2.441;27.29
2.491;27.31
2.541;27.09
2.591;27.19
2.641;27.09
2.691;27.32
2.741;27.4
2.791;26.88

V [mL];Concentration determination TitrationEQP1 E
0;923.7
0.005;930.4
0.01;930.7
0.022;930.7
0.052;930.3
0.102;929.4
0.152;928.6
0.202;927.7
0.252;926.8
0.302;926
0.352;925.3
0.402;924.5
0.452;923.6
0.502;922.8
0.552;922
0.602;921
0.652;920.4
0.702;919.5
0.752;918.7
0.802;918
0.852;917.2
0.902;916.4
0.952;915.6
1.002;914.9
1.052;913.9
1.102;913.2
1.152;912.4
1.202;911.5
1.252;910.7
1.302;909.5
1.352;907.3
1.402;900.4
1.452;876
1.457;875.4
1.469;875.4
1.499;875.7
1.549;876.1
1.599;876.4
1.649;876.8
1.699;877.3
1.749;877.6
1.799;878.1
1.849;878.4
1.899;878.9
1.949;879.2
1.999;879.5
2.049;879.9
2.099;880.1
2.149;880.2
2.199;880.8
2.249;881
2.299;881.3
2.349;881.5
2.399;881.7
2.449;882
2.499;882.3
2.549;882.5
2.599;882.7
2.649;883
2.699;883.2
2.749;883.5
2.799;883.7
2.849;883.9
2.899;884.2
2.949;884.5
2.999;884.7
3;884.9

V [mL];Concentration determination TitrationEQP1 dE/dV
0.102;-9.94
0.152;-17.39
0.202;-16.97
0.252;-16.51
0.302;-16.18
0.352;-15.85
0.402;-16.22
0.452;-16.49
0.502;-16.79
0.552;-16.87
0.602;-16.4
0.652;-15.96
0.702;-15.72
0.752;-15.59
0.802;-15.23
0.852;-15.74
0.902;-15.69
0.952;-15.97
1.002;-16.23
1.052;-15.85
1.102;-14.84
1.152;-10.2
1.202;6.77
1.252;-11.43
1.302;-56.86
1.352;-141.01
1.402;-199.23
1.452;-195.74
1.457;-187.54
1.469;-121.51
1.499;-61.26
1.549;6.35
1.599;8.06
1.649;7.9
1.699;8.09
1.749;8.33
1.799;8.12
1.849;7.82
1.899;7.64
1.949;6.65
1.999;5.99
2.049;5.81
2.099;5.73
2.149;6.04
2.199;5.82
2.249;5.56
2.299;5.54
2.349;5.11
2.399;4.54
2.449;5.02
2.499;4.89
2.549;5
2.599;4.92
2.649;4.68
2.699;4.68
2.749;4.92
2.799;4.82

V [mL];Concentration determination TitrationEQP1 E
0;849.9
0.005;861.7
0.01;862.6
0.022;863.3
0.052;863.5
0.102;863.5
0.152;863.4
0.202;863.2
0.252;863
0.302;862.9
0.352;862.7
0.402;862.5
0.452;862.3
0.502;862.1
0.552;861.8
0.602;861.5
0.652;861.2
0.702;860.9
0.752;860.6
0.802;860.1
0.852;859.8
0.902;859.3
0.952;858.9
1.002;858.5
1.052;857.9
1.102;857.1
1.152;856.5
1.202;855.3
1.252;853.6
1.302;849.8
1.352;838.1
1.375;826.4
1.382;822.9
1.398;811
1.405;804.1
1.411;796.7
1.416;789.5
1.421;781.2
1.426;771.7
1.431;761.6
1.436;751.8
1.441;747.5
1.453;745.8
1.483;745.5
1.533;746.1
1.583;746.9
1.633;747.7
1.683;748.5
1.733;749.3
1.783;750
1.833;750.8
1.883;751.6
1.933;752.4
1.983;753.1
2.033;753.9
2.083;754.6
2.133;755.4
2.183;756.1
2.233;756.9
2.283;757.6
2.333;758.4
2.383;759.1
2.433;759.9
2.483;760.6
2.533;761.3
2.583;762
2.633;762.8
2.683;763.5
2.733;764.2
2.783;764.9
2.833;765.6
2.883;766.4
2.933;767.1
2.983;767.9
3;768.5

V [mL];Concentration determination TitrationEQP1 dE/dV
0.102;13.17
0.152;-2.49
0.202;-3.77
0.252;-3.73
0.302;-3.6
0.352;-3.6
0.402;-3.88
0.452;-4.49
0.502;-5.12
0.552;-5.28
0.602;-5.91
0.652;-6.29
0.702;-6.79
0.752;-7.32
0.802;-7.68
0.852;-7.84
0.902;-8.6
0.952;-8.99
1.002;-9.59
1.052;-9.64
1.102;-4.38
1.152;-7.59
1.202;-31.32
1.252;-80.96
1.302;-194.23
1.352;-429.19
1.375;-627.7
1.382;-731
1.398;-998.53
1.405;-1174.3
1.411;-1314.93
1.416;-1547.38
1.421;-1744.51
1.426;-1510.42
1.431;-1184.14
1.436;-1085.09
1.441;-834.06
1.453;-463.35
1.483;-149.69
1.533;-10.44
1.583;15.37
1.633;17.47
1.683;16.49
1.733;15.83
1.783;15.49
1.833;15.51
1.883;15.4
1.933;15.4
1.983;15.2
2.033;15
2.083;14.88
2.133;15
2.183;15
2.233;15
2.283;15.12
2.333;15
2.383;14.8
2.433;14.6
2.483;14.6
2.533;14.49
2.583;14.51
2.633;14.28
2.683;14.4
2.733;14.29
2.783;13.97

V [mL];Concentration determination TitrationEQP1 E
0;939.3
0.005;943.3
0.01;943.4
0.022;943.2
0.052;942.6
0.102;941.6
0.152;940.6
0.202;939.5
0.252;938.5
0.302;937.5
0.352;936.5
0.402;935.5
0.452;934.5
0.502;933.6
0.552;932.7
0.602;931.6
0.652;930.7
0.702;929.8
0.752;928.8
0.802;928
0.852;927
0.902;926.1
0.952;925.2
1.002;924.3
1.052;923.5
1.102;922.6
1.152;921.7
1.202;920.8
1.252;920
1.302;919
1.352;917.5
1.402;913.9
1.452;902.6
1.477;902.3
1.527;902.7
1.577;903.2
1.627;903.5
1.677;904
1.727;904.3
1.777;904.7
1.827;905.1
1.877;905.4
1.927;905.7
1.977;906
2.027;906.2
2.077;906.5
2.127;906.7
2.177;906.8
2.227;907
2.277;907.2
2.327;907.3
2.377;907.5
2.427;907.6
2.477;907.7
2.527;907.9
2.577;908
2.627;908.1
2.677;908.2
2.727;908.3
2.777;908.5
2.827;908.5
2.877;908.7
2.927;908.9
2.977;909
3;909

V [mL];Concentration determination TitrationEQP1 dE/dV
0.102;-16.42
0.152;-20.62
0.202;-20.55
0.252;-20.52
0.302;-20.32
0.352;-19.68
0.402;-19.39
0.452;-19.41
0.502;-19.17
0.552;-19.23
0.602;-19
0.652;-18.88
0.702;-18.73
0.752;-18.4
0.802;-18.28
0.852;-18.32
0.902;-17.99
0.952;-17.69
1.002;-17.72
1.052;-17.25
1.102;-16.69
1.152;-14.44
1.202;-6.93
1.252;-18.92
1.302;-52.05
1.352;-79.23
1.402;-89.25
1.452;-79.33
1.477;-58.04
1.527;-22.72
1.577;8.43
1.627;22.17
1.677;8.41
1.727;7.59
1.777;7.32
1.827;6.91
1.877;6.28
1.927;6.04
1.977;5.28
2.027;4.68
2.077;4.32
2.127;3.77
2.177;3.49
2.227;3.32
2.277;2.96
2.327;3
2.377;2.92
2.427;2.68
2.477;2.6
2.527;2.4
2.577;2.4
2.627;2.29
2.677;2.07
2.727;2.2
2.777;2.59

