Schwartz Raw: V_eq = 4.900 mL, R² = 0.9987, k = 0.000, Zone = 5-34
Schwartz Opt: V_eq = 5.509 mL, R² = 0.9976, k = 1.875, Zone = 10-27
Schwartz Raw: V_eq = 5.328 mL, R² = 0.9981, k = 0.000, Zone = 13-26
Schwartz Opt: V_eq = 5.332 mL, R² = 0.9992, k = 0.856, Zone = 9-26
Schwartz Raw: V_eq = 5.140 mL, R² = 0.9981, k = 0.000, Zone = 13-26
Schwartz Opt: V_eq = 5.166 mL, R² = 0.9985, k = 0.570, Zone = 7-24
Schwartz Raw: V_eq = 5.628 mL, R² = 0.9971, k = 0.000, Zone = 13-27
Schwartz Opt: V_eq = 5.617 mL, R² = 0.9994, k = 1.173, Zone = 9-27
Schwartz Raw: V_eq = 5.192 mL, R² = 0.9973, k = 0.000, Zone = 12-25
Schwartz Opt: V_eq = 5.165 mL, R² = 0.9986, k = 1.342, Zone = 9-26
Schwartz Raw: V_eq = 5.517 mL, R² = 0.9982, k = 0.000, Zone = 13-26
Schwartz Opt: V_eq = 5.507 mL, R² = 0.9993, k = 1.020, Zone = 9-26
Schwartz Raw: V_eq = 5.181 mL, R² = 0.9969, k = 0.000, Zone = 12-26
Schwartz Opt: V_eq = 5.141 mL, R² = 0.9985, k = 1.171, Zone = 9-26
Schwartz Raw: V_eq = 8.014 mL, R² = 0.9999, k = 0.000, Zone = 12-28
Schwartz Opt: V_eq = 8.010 mL, R² = 1.0000, k = 0.393, Zone = 6-23
Schwartz Raw: V_eq = 18.659 mL, R² = 0.9980, k = 0.000, Zone = 8-20
Schwartz Opt: V_eq = 18.659 mL, R² = 0.9980, k = 0.000, Zone = 8-20
Schwartz Raw: V_eq = 0.479 mL, R² = 0.9975, k = 0.000, Zone = 7-12
Schwartz Opt: V_eq = 0.478 mL, R² = 0.9978, k = 0.083, Zone = 7-12
Schwartz Raw: V_eq = 5.229 mL, R² = 1.0000, k = 0.000, Zone = 8-25
Schwartz Opt: V_eq = 5.229 mL, R² = 1.0000, k = 0.002, Zone = 8-26
Schwartz Raw: V_eq = 13.963 mL, R² = 0.9999, k = 0.000, Zone = 3-10
Schwartz Opt: V_eq = 13.974 mL, R² = 0.9972, k = 995172156.991, Zone = 0-14
Schwartz Raw: V_eq = 19.500 mL, R² = 0.9998, k = 0.000, Zone = 0-9
Schwartz Opt: V_eq = 19.500 mL, R² = 0.9998, k = 0.000, Zone = 0-9
Schwartz Raw: V_eq = 5.058 mL, R² = 0.9937, k = 0.000, Zone = 16-20
Schwartz Opt: V_eq = 5.225 mL, R² = 0.9998, k = 999885010.627, Zone = 11-15
Schwartz Raw: V_eq = 5.135 mL, R² = 0.9956, k = 0.000, Zone = 14-17
Schwartz Opt: V_eq = 5.221 mL, R² = 0.9997, k = 999946517.921, Zone = 10-15
Schwartz Raw: V_eq = 5.137 mL, R² = 0.9935, k = 0.000, Zone = 14-17
Schwartz Opt: V_eq = 8.301 mL, R² = 0.8863, k = 999944824.674, Zone = 22-25
Schwartz Raw: V_eq = 5.344 mL, R² = 0.9939, k = 0.000, Zone = 14-17
Schwartz Opt: V_eq = 5.427 mL, R² = 0.9998, k = 999982607.890, Zone = 10-14
Schwartz Raw: V_eq = 5.285 mL, R² = 0.9952, k = 0.000, Zone = 16-20
Schwartz Opt: V_eq = 5.459 mL, R² = 0.9995, k = 999703071.997, Zone = 11-15
Schwartz Raw: V_eq = 5.436 mL, R² = 0.9974, k = 0.000, Zone = 14-17
Schwartz Opt: V_eq = 5.365 mL, R² = 0.9978, k = 999809438.080, Zone = 15-18
