V [mL];Benzoic acid TitrationEQP1 E
3.791;-264.1
3.861;-272.5
3.98;-280.1
4.18;-287.3
4.38;-291.8

V [mL];Benzoic acid TitrationEQP1 dE/dV
0.142;-189.56
0.226;-120.15
0.338;-76.89
0.52;-46.46
0.72;-31.98
0.92;-25.87
1.12;-23.31
1.32;-22.27
1.52;-22.1
1.72;-22.24
1.92;-22.79
2.12;-23.59
2.32;-24.8
2.52;-27.58
2.72;-32.11
2.92;-40.52
3.12;-57.32
3.288;-84.18
3.377;-110.31
3.472;-160.29
3.525;-230.41
3.563;-524.4
3.594;-805.5
3.618;-1008.92
3.638;-1416.78
3.658;-1966.11
3.678;-1737.02
3.698;-1277.93
3.718;-1235.65
3.751;-926.34

